name,genres,duration,released_date,reviews,comments,language,rating,director,actor,investment,revenue
Free Guy,"Comedy, Action, Adventure, Science Fiction",1h 55m,08/13/2021 (US),3,8,English,79,Shawn Levy,Ryan Reynolds,"$110,000,000.00","$324,000,000.00"
Venom: Let There Be Carnage,"Science Fiction, Action",1h 37m,10/01/2021 (US),1,6,English,75,Andy Serkis,Tom Hardy,"$110,000,000.00","$115,000,000.00"
Snake Eyes: G.I. Joe Origins,"Action, Adventure",2h 1m,07/23/2021 (US),2,2,English,69,Robert Schwentke,Henry Golding,"$88,000,000.00","$36,964,325.00"
Deathstroke: Knights & Dragons - The Movie,"Animation, Action, Adventure, Science Fiction",1h 27m,08/04/2020 (US),1,1,English,70,Sung Jin Ahn,Michael Chiklis,-,-
Cosmic Sin,Science Fiction,1h 28m,03/12/2021 (US),3,2,English,45,Edward Drake,Bruce Willis,"$20,000,000.00",-
Venom,"Science Fiction, Action",1h 52m,10/05/2018 (US),6,22,English,68,Ruben Fleischer,Tom Hardy,"$116,000,000.00","$855,013,954.00"
The Stronghold,"Crime, Thriller",1h 45m,08/18/2021 (FR),0,1,French,78,Cédric Jimenez,Gilles Lellouche,"$14,479,740.00",-
The Last Warrior: Root of Evil,"Fantasy, Adventure, Comedy",2h,01/01/2021 (RU),0,0,Russian,71,Dmitriy Dyachenko,Viktor Horinyak,"$8,400,000.00","$27,658,331.00"
Dragon Fury,"Horror, Fantasy, Mystery",1h 28m,06/15/2021 (US),0,0,English,57,Scott Jeffrey,Nicola Wright,-,-
Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",2h 12m,09/03/2021 (US),3,10,English,78,Destin Daniel Cretton,Simu Liu,"$150,000,000.00","$386,000,000.00"
Solitary,Science Fiction,1h 29m,09/24/2021 (US),0,0,English,67,Luke Armstrong,Johnny Sachon,-,-
The Suicide Squad,"Action, Adventure, Fantasy",2h 12m,08/06/2021 (US),8,12,English,78,James Gunn,Margot Robbie,"$180,000,000.00","$167,381,210.00"
Jungle Cruise,"Adventure, Fantasy, Comedy, Action",2h 7m,07/30/2021 (US),7,3,English,78,Jaume Collet-Serra,Dwayne Johnson,"$200,000,000.00","$209,000,000.00"
Crazy Fist,Action,1h 37m,05/25/2017 (BR),0,0,Chinese,75,Qing Guo,Steve Yoo,-,-
Old,"Horror, Mystery, Thriller",1h 48m,07/23/2021 (US),2,3,English,67,M. Night Shyamalan,Gael García Bernal,"$18,000,000.00","$89,500,000.00"
F9,"Action, Crime, Thriller",2h 23m,06/25/2021 (US),8,17,English,75,Justin Lin,Vin Diesel,"$200,000,000.00","$716,000,000.00"
Ainbo: Spirit of the Amazon,"Adventure, Animation, Family, Fantasy",1h 24m,02/09/2021 (NL),0,0,English,72,Richard Claus,Thom Hoffman,-,-
Don't Breathe 2,"Thriller, Horror",1h 38m,08/13/2021 (US),0,2,English,77,Rodo Sayagues,Stephen Lang,"$10,000,000.00","$45,000,000.00"
Catch the Bullet,"Western, Action",1h 29m,09/10/2021 (US),0,0,English,58,Michael Feifer,Jay Pickett,-,-
My Little Pony: A New Generation,"Animation, Family, Fantasy, Comedy, Music, Adventure",1h 31m,09/23/2021 (RU),0,1,English,80,José Luis Ucha,Vanessa Hudgens,-,-
The Boss Baby: Family Business,"Animation, Comedy, Adventure, Family",1h 47m,07/02/2021 (US),0,0,English,77,Tom McGrath,Alec Baldwin,"$82,000,000.00","$112,000,000.00"
PAW Patrol: The Movie,"Animation, Family, Adventure, Comedy",1h 26m,08/20/2021 (US),0,0,English,78,Cal Brunker,Iain Armitage,"$26,000,000.00","$103,000,000.00"
Black Widow,"Action, Adventure, Thriller, Science Fiction",2h 14m,07/09/2021 (US),9,27,English,77,Cate Shortland,Scarlett Johansson,"$200,000,000.00","$378,328,978.00"
Space Jam: A New Legacy,"Animation, Comedy, Family, Science Fiction",1h 55m,07/16/2021 (US),2,3,English,73,Malcolm D. Lee,LeBron James,"$161,900,000.00","$148,810,604.00"
Luca,"Animation, Comedy, Family, Fantasy",1h 35m,06/17/2021 (RU),3,1,English,80,Enrico Casarosa,Jacob Tremblay,"$200,000,000.00","$47,400,000.00"
Kate,"Action, Thriller",1h 46m,09/10/2021 (US),1,2,English,68,Cedric Nicolas-Troyan,Mary Elizabeth Winstead,-,-
SAS: Red Notice,"Drama, Action, Thriller",2h,08/11/2021 (HU),3,0,English,60,Magnus Martens,Sam Heughan,-,-
The Addams Family 2,"Animation, Comedy, Family",1h 33m,10/01/2021 (US),0,1,English,78,Conrad Vernon,Oscar Isaac,-,"$18,000,000.00"
Rogue Hostage,"Action, Thriller",1h 34m,06/11/2021 (BR),0,0,English,66,Jon Keeyes,Tyrese Gibson,-,-
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"Animation, Action, Adventure, Fantasy",1h 57m,12/11/2020 (VN),3,3,Japanese,84,Haruo Sotozaki,Natsuki Hanae,"$15,800,000.00","$503,063,688.00"
After We Fell,"Romance, Drama",1h 48m,09/30/2021 (US),0,0,English,81,Castille Landon,Josephine Langford,"$14,000,000.00","$19,000,000.00"
Sweet Girl,Action,1h 50m,08/18/2021 (US),1,0,English,69,Brian Andrew Mendoza,Jason Momoa,-,-
Jurassic Hunt,"Action, Science Fiction, Thriller",1h 23m,08/26/2021 (BR),0,0,English,49,Hank Braxtan,Courtney Loggins,-,-
The Seven Deadly Sins: Cursed by Light,"Animation, Action",,07/02/2021 (JP),0,0,Japanese,86,Takayuki Hamana,Yuki Kaji,-,-
Swim,"Horror, Action",1h 27m,08/13/2021 (US),0,0,English,48,Jared Cohn,Rib Hillis,-,-
No Time to Die,"Adventure, Action, Thriller",2h 43m,10/08/2021 (US),2,47,English,73,Cary Joji Fukunaga,Daniel Craig,"$242,000,000.00","$119,000,000.00"
Narco Sub,"Action, Drama, Crime",1h 33m,01/22/2021 (BR),0,0,English,72,Shawn Welling,Tom Vera,-,-
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,"Animation, Comedy, Mystery, Family, Fantasy",1h 12m,09/14/2021 (US),0,1,English,82,Cecilia Aranovich,Frank Welker,-,-
Cruella,"Comedy, Crime",2h 14m,05/28/2021 (US),6,3,English,83,Craig Gillespie,Emma Stone,"$200,000,000.00","$233,274,812.00"
Wrath of Man,"Action, Crime, Thriller",1h 59m,05/07/2021 (US),8,2,English,78,Guy Ritchie,Jason Statham,"$40,000,000.00","$103,966,489.00"
